systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
22,Acrux,-352.026,40.745,U,U,U,U,U,U,U,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,LA|Donegal March|Alarion Operational Area|Region 3,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province|Buena Archonette,LA|Alarion Province|Buena Archonette,LA|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Bolan Province
23,Acubens,-52.221,-50.716,I,I,I,I,FWL,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL|Marik Commonwealth,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,WB,CoF,RS|Prefecture VII,RS|Prefecture VII,RS|Prefecture VII,RS|Prefecture VII,I,FWL|Covenant Worlds,FWL|Covenant Worlds,FWL|Covenant Worlds
24,Ad Duwayd,361.884,374.511,U,U,U,U,U,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Pusht-i-rud Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture,DC|Pesht Military District|Qandahar Prefecture
25,Addasar,-29.439,-516.520,U,U,U,U,U,U,U,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC|Luxen Province,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
26,Addicks,71.439,-0.696,U,I,I,I,TH,TH|Lockdale Province,TH|Lockdale Province,TH|Lockdale Province,TH|Lockdale Province,AE|Lockdale Province,AE|Lockdale Province,AE|Lockdale Province,SL,TH|Lockdale Province,FS|Draconis March|Robinson Operational Area|Region 1,DC|Dieron Military District|Addicks Prefecture|Region Capital,DC|Dieron Military District|Addicks Prefecture|Region Capital,DC|Dieron Military District|Addicks Prefecture|Region Capital,FS|Draconis March|Robinson Operational Area|Region 1,FS|Draconis March|Robinson Operational Area|Addicks PDZ,FS|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FCF|Draconis March|Robinson Operational Area|Addicks PDZ,FS|Draconis March|Robinson Operational Area|Addicks PDZ,D(FS/WB),WB,CoF,RS|Prefecture III,RS|Prefecture III,RS|Prefecture III,RS|Prefecture III,I,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture
27,Adelaide,-250.471,315.316,U,U,U,U,U,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,FCL|Donegal March|Coventry Operational Area|Region 1,LA|Donegal March|Coventry Operational Area|Region 1,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LA|Coventry Province|Melissia Theater,LC|Coventry Province|Melissia Theater,LC|Coventry Province|Melissia Theater,LC|Coventry Province|Melissia Theater,LC|Bucklands Theater,LC|Bucklands Theater,LC|Bucklands Theater,LC|Bucklands Theater
28,Adelson,472.766,-245.354,U,U,U,U,U,U,U,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FCF|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region,FS|Periphery March|Anjin Muerto Operational Area|Broken Wheel Combat Region
29,Adhafera,-105.278,-51.227,U,U,U,U,U,U,U,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Confederation,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,FWL|Stewart Commonality,SC,RS|Prefecture VII,RS|Prefecture VII,RS|Prefecture VII,I,WE,WE,FWL|Clan Protectorate
30,Adhara [Trip (3040+)],-123.314,-468.960,U,U,U,U,U,U,U,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
31,Adherlwin,-134.304,-418.682,U,U,U,U,U,MOC,MOC,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
32,Adler,155.257,-210.669,U,U,U,U,U,U,U,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,CC|St. Ives Commonality|Region 3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
33,Adrar,-4.382,-409.233,U,U,U,U,U,U,U,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34,Adrian,449.254,28.130,U,U,U,U,U,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 3,FS|Draconis March|Woodbine Operational Area|Region 3,FS|Draconis March|Woodbine Operational Area|Region 3,FS|Draconis March|Woodbine Operational Area|Region 3,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FCF|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Woodbine Operational Area|Milligan PDZ,FS|Draconis March|Milligan Operational Area|Milligan PDZ,DC|New Samarkand Military District|Tancredi Prefecture,DC|New Samarkand Military District|Tancredi Prefecture,FS|Draconis March|Tancredi Operational Area|Milligan PDZ
35,Aer [Finnalon (2822+)],55.145,-187.635,U,U,U,U,U,U,U,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,CC|Capella Commonality|Region 3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
36,Afarsin,-216.314,-369.872,U,U,U,U,U,MOC,MOC,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
37,Afleir,-51.281,-2.977,U,U,U,U,TH,TH|Tyrfing Province,TH|Tyrfing Province,TH|Tyrfing Province,TH|Tyrfing Province,AE|Tyrfing Province,AE|Tyrfing Province,SL,SL,TH|Tyrfing Province,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
38,Agador [Yance I],69.791,51.650,U,I,AG,DC,DC,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Benjamin Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,RS|Prefecture II,RS|Prefecture II,RS|Prefecture II,RS|Prefecture II,DC|Benjamin Military District|Algedi Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture,DC|Dieron Military District|Ashio Prefecture
39,Agematsu,253.838,185.545,U,U,I,I,I,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|Galedon Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture,DC|New Samarkand Military District|Oshika Prefecture
